ACCT_NUM,TICKER,CUSIP,SEDOL,QUANTITY,AVG_COST,MKT_VALUE,UNREALIZED_PNL,ASSET_CLASS,SECTOR,AS_OF_DATE
ACC-1001,AAPL,037833100,2046251,1500,145.20,257220.00,39420.00,EQUITY,TECHNOLOGY,03/15/2024
ACC-1001,GOOGL,02079K305,BYVY8G0,400,125.50,55568.00,5368.00,EQUITY,TECHNOLOGY,03/15/2024
ACC-1001,TSLA,88160R101,B616C79,250,185.30,40892.50,-5432.50,EQUITY,CONSUMER_DISC,03/15/2024
ACC-1001,PG,742718109,2704407,800,148.75,128272.00,9272.00,EQUITY,CONSUMER_STAPLES,03/15/2024
ACC-1001,BND,,B4R2N94,2000,75.40,151200.00,600.00,FIXED_INCOME,BONDS,03/15/2024
ACC-1002,MSFT,594918104,2588173,300,350.80,123681.00,18441.00,EQUITY,TECHNOLOGY,03/15/2024
ACC-1002,NVDA,67066G104,2379504,150,650.25,131755.50,34217.50,EQUITY,TECHNOLOGY,03/15/2024
ACC-1002,HD,437076102,2434209,120,342.10,46294.80,5242.80,EQUITY,CONSUMER_DISC,03/15/2024
ACC-1002,AMZN,023135106,2000019,0,0.00,0.00,0.00,EQUITY,CONSUMER_DISC,03/15/2024
ACC-1003,AMZN,023135106,2000019,700,155.40,124775.00,15995.00,EQUITY,CONSUMER_DISC,03/15/2024
ACC-1003,V,92826C839,B2PZN04,350,245.60,97947.50,11987.50,EQUITY,FINANCIALS,03/15/2024
ACC-1003,DIS,254687106,2270726,450,98.25,50161.50,5948.50,EQUITY,COMMUNICATION,03/15/2024
ACC-1003,AGG,,B0WGY34,3000,100.15,300750.00,300.00,FIXED_INCOME,BONDS,03/15/2024
ACC-1004,META,30303M102,B7TL820,600,310.45,290418.00,104148.00,EQUITY,TECHNOLOGY,03/15/2024
ACC-1004,UNH,91324P102,2917766,75,480.20,37092.00,1057.00,EQUITY,HEALTHCARE,03/15/2024
ACC-1004,NFLX,64110L106,2857817,0,0.00,0.00,0.00,EQUITY,COMMUNICATION,03/15/2024
ACC-1005,JPM,46625H100,2190385,600,175.30,116052.00,10872.00,EQUITY,FINANCIALS,03/15/2024
ACC-1005,MA,57636Q104,B121557,90,420.50,42415.20,3570.20,EQUITY,FINANCIALS,03/15/2024
ACC-1005,COST,22160K105,2701271,0,0.00,0.00,0.00,EQUITY,CONSUMER_STAPLES,03/15/2024
ACC-1005,TLT,,B0WGY45,1500,95.80,144300.00,600.00,FIXED_INCOME,BONDS,03/15/2024
ACC-1006,MSFT,594918104,2588173,0,0.00,0.00,0.00,EQUITY,TECHNOLOGY,03/15/2024
ACC-1006,AMD,007903107,2007849,0,0.00,0.00,0.00,EQUITY,TECHNOLOGY,03/15/2024
