TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE,SOURCE
AAPL,03/15/2024,170.85,172.30,170.11,171.48,58234100,171.48,BLOOMBERG
MSFT,03/15/2024,411.50,413.82,409.23,412.27,22145800,412.27,BLOOMBERG
GOOGL,03/15/2024,139.10,140.25,137.88,138.92,25678900,138.92,BLOOMBERG
AMZN,03/15/2024,177.50,179.12,176.43,178.25,42567300,178.25,BLOOMBERG
NVDA,03/15/2024,875.20,882.45,870.10,878.37,38912400,878.37,BLOOMBERG
META,03/15/2024,482.75,486.30,480.15,484.03,18234500,484.03,BLOOMBERG
TSLA,03/15/2024,164.80,166.92,162.35,163.57,95678200,163.57,BLOOMBERG
JPM,03/15/2024,192.50,194.15,191.80,193.42,8912300,193.42,BLOOMBERG
V,03/15/2024,278.90,281.20,277.65,279.85,6234500,279.85,BLOOMBERG
UNH,03/15/2024,493.25,496.80,491.10,494.56,3456700,494.56,BLOOMBERG
HD,03/15/2024,384.50,387.20,383.10,385.79,4123400,385.79,BLOOMBERG
PG,03/15/2024,159.80,161.45,158.90,160.34,5678900,160.34,BLOOMBERG
MA,03/15/2024,470.15,473.50,468.30,471.28,2345600,471.28,BLOOMBERG
DIS,03/15/2024,110.85,112.30,109.75,111.47,12345600,111.47,BLOOMBERG
BRK.B,03/15/2024,407.50,410.25,406.10,408.95,3234500,408.95,BLOOMBERG
COST,03/15/2024,724.20,728.50,722.80,725.81,1567800,725.81,BLOOMBERG
NFLX,03/15/2024,613.50,617.80,611.25,615.23,5678900,615.23,BLOOMBERG
CRM,03/15/2024,297.10,300.25,295.80,298.47,4567800,298.47,BLOOMBERG
AMD,03/15/2024,181.20,184.35,179.80,182.56,45678900,182.56,BLOOMBERG
INTC,03/15/2024,42.80,43.95,42.15,43.27,32456700,43.27,BLOOMBERG
ADBE,03/15/2024,568.50,572.80,565.30,570.15,2345600,570.15,BLOOMBERG
BND,03/15/2024,75.45,75.72,75.30,75.60,8901200,75.60,VANGUARD
AGG,03/15/2024,100.10,100.40,99.95,100.25,12345600,100.25,ISHARES
TLT,03/15/2024,95.80,96.45,95.20,96.20,15678900,96.20,ISHARES
