TRADE_ID,ACCT_NUM,TICKER,SIDE,QTY,PRICE,TRADE_DATE,SETTLE_DATE,BROKER,COMMISSION,STATUS
T-20240318-001,ACC-1001,AAPL,SELL,300,172.62,03/18/2024,03/20/2024,GOLDMN,12.50,SETTLED
T-20240318-002,ACC-1006,MSFT,BUY,500,410.34,03/18/2024,03/20/2024,UBS,25.00,SETTLED
T-20240318-003,ACC-1002,AMZN,BUY,200,176.89,03/18/2024,03/20/2024,MRGST,10.00,SETTLED
T-20240318-004,ACC-1004,NFLX,BUY,100,615.23,03/18/2024,03/20/2024,BARCL,15.00,SETTLED
T-20240318-005,ACC-1003,CRM,SELL,175,298.47,03/18/2024,03/20/2024,JPMC,12.00,PENDING
T-20240318-006,ACC-1001,BRK.B,BUY,80,408.95,03/18/2024,03/20/2024,GOLDMN,20.00,SETTLED
T-20240318-007,ACC-1005,COST,BUY,60,725.81,03/18/2024,03/20/2024,CITI,18.00,SETTLED
T-20240318-008,ACC-1002,ADBE,SELL,150,,03/18/2024,03/20/2024,MRGST,14.00,FAILED
T-20240318-009,ACC-1006,AMD,BUY,400,182.56,03/18/2024,03/20/2024,UBS,16.00,SETTLED
T-20240318-010,ACC-1004,INTC,BUY,1000,43.27,03/18/2024,03/20/2024,BARCL,8.00,SETTLED
